"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.265320000E0,1.634115601E1,-6.123447418E0,-4.688107300E1,5.002364434E1
2.275378000E0,1.660185242E1,-6.025005341E0,-4.681369019E1,5.003442597E1
2.285437000E0,1.685609436E1,-5.798259735E0,-4.684313965E1,5.012013034E1
2.295495000E0,1.719866943E1,-5.793643951E0,-4.636441040E1,4.978974887E1
2.305554000E0,1.709396362E1,-5.535926819E0,-4.692120361E1,5.024389940E1
2.315612000E0,1.738290405E1,-5.246547699E0,-4.666079712E1,5.006916820E1
2.325671000E0,1.734129333E1,-5.185901642E0,-4.668630981E1,5.007220341E1
2.335729000E0,1.710348511E1,-5.086475372E0,-4.703704834E1,5.030790545E1
2.345788000E0,1.762986755E1,-5.104778290E0,-4.688943481E1,5.035365020E1
2.355847000E0,1.754638672E1,-5.050495148E0,-4.666354370E1,5.010857710E1
2.365905000E0,1.731735229E1,-5.192718506E0,-4.671020508E1,5.008690722E1
2.375964000E0,1.755004883E1,-5.045440674E0,-4.678564453E1,5.022307457E1
2.386022000E0,1.751065063E1,-5.025684357E0,-4.652993774E1,4.996914543E1
2.396081000E0,1.748728943E1,-5.182632446E0,-4.663284302E1,5.007281716E1
2.406139000E0,1.740631104E1,-5.147460938E0,-4.677328491E1,5.017186661E1
2.416198000E0,1.715533447E1,-5.011054993E0,-4.698629761E1,5.027055138E1
2.426256000E0,1.704313660E1,-5.133735657E0,-4.703060913E1,5.028620031E1
2.436315000E0,1.692422485E1,-4.926685333E0,-4.704037476E1,5.023443513E1
2.446373000E0,1.687736511E1,-4.619899750E0,-4.701550293E1,5.016618824E1
2.456432000E0,1.673210144E1,-4.694675446E0,-4.669186401E1,4.982101325E1
2.466491000E0,1.684925842E1,-4.509601593E0,-4.668301392E1,4.983510614E1
2.476549000E0,1.696588135E1,-4.495822906E0,-4.713064575E1,5.029265675E1
2.486608000E0,1.726141357E1,-4.672878265E0,-4.677456665E1,5.007646428E1
2.496666000E0,1.707891846E1,-4.948192596E0,-4.660903931E1,4.988563531E1
2.506725000E0,1.742959595E1,-5.123943329E0,-4.709735107E1,5.047975919E1
2.516783000E0,1.720240784E1,-5.130592346E0,-4.687695312E1,5.019655912E1
2.526842000E0,1.722143555E1,-5.153564453E0,-4.658654785E1,4.993439205E1
2.536900000E0,1.726911926E1,-5.132091522E0,-4.642529297E1,4.979827980E1
2.546959000E0,1.749867249E1,-5.134166718E0,-4.625625610E1,4.972126744E1
2.557018000E0,1.759205627E1,-5.343822479E0,-4.640356445E1,4.991320143E1
2.567076000E0,1.738839722E1,-5.313510895E0,-4.694030762E1,5.033867534E1
2.577135000E0,1.733453369E1,-5.465675354E0,-4.673547363E1,5.014543011E1
2.587193000E0,1.754193115E1,-5.126640320E0,-4.666494751E1,5.011605647E1
2.597252000E0,1.772038269E1,-5.181522369E0,-4.629360962E1,4.983932612E1
2.607310000E0,1.787173462E1,-5.273551941E0,-4.593289185E1,4.956853641E1
2.617369000E0,1.799836731E1,-5.453639984E0,-4.620333862E1,4.988418502E1
2.627427000E0,1.824998474E1,-5.224853516E0,-4.625222778E1,4.999629599E1
2.637486000E0,1.805885315E1,-5.323284149E0,-4.684216309E1,5.048413388E1
2.647544000E0,1.802174377E1,-5.164165497E0,-4.637222290E1,5.001834574E1
2.657603000E0,1.807461548E1,-5.368537903E0,-4.676477051E1,5.042277942E1
2.667662000E0,1.829252625E1,-5.246589661E0,-4.670565796E1,5.043373578E1
2.677720000E0,1.813471985E1,-5.100757599E0,-4.658270264E1,5.024772609E1
2.687779000E0,1.830960083E1,-5.100963593E0,-4.670578003E1,5.042510486E1
2.697837000E0,1.816888428E1,-4.705261230E0,-4.649438477E1,5.013956176E1
2.707896000E0,1.813577271E1,-4.776268005E0,-4.636224365E1,5.001176486E1
2.717954000E0,1.824873352E1,-4.435848236E0,-4.626071167E1,4.992741200E1
2.728013000E0,1.850457764E1,-4.479034424E0,-4.629165649E1,5.005395693E1
2.738071000E0,1.863764954E1,-4.395034790E0,-4.611856079E1,4.993595859E1
2.748130000E0,1.847987366E1,-4.549781799E0,-4.634375000E1,5.009939529E1
2.758188000E0,1.864758301E1,-4.487785339E0,-4.667266846E1,5.045998960E1
2.768247000E0,1.853721619E1,-4.402709961E0,-4.642022705E1,5.017817970E1
2.778306000E0,1.871717834E1,-4.740188599E0,-4.598266602E1,4.987191321E1
2.788364000E0,1.875502014E1,-4.542140961E0,-4.639260864E1,5.024595468E1
2.798423000E0,1.894406128E1,-4.600589752E0,-4.619714355E1,5.014198796E1
2.808481000E0,1.909182739E1,-4.345108032E0,-4.630102539E1,5.027089406E1
2.818540000E0,1.906651306E1,-4.317108154E0,-4.632363892E1,5.027970630E1
2.828598000E0,1.907489014E1,-4.266906738E0,-4.594003296E1,4.992538988E1
2.838657000E0,1.869662476E1,-4.428585052E0,-4.622317505E1,5.005754743E1
2.848715000E0,1.872909546E1,-4.566970825E0,-4.588134766E1,4.976679919E1
2.858774000E0,1.841651917E1,-4.177139282E0,-4.605590820E1,4.977713683E1
2.868833000E0,1.843783569E1,-4.462066650E0,-4.649624634E1,5.021717582E1
2.878891000E0,1.828749084E1,-4.625522614E0,-4.657440186E1,5.024940486E1
2.888950000E0,1.821464539E1,-4.840946198E0,-4.623394775E1,4.992780780E1
2.899008000E0,1.841345215E1,-5.031459808E0,-4.617965698E1,4.996930585E1
2.909067000E0,1.838490295E1,-5.069972992E0,-4.638864136E1,5.015591022E1
2.919125000E0,1.843615723E1,-4.880767822E0,-4.615335083E1,4.993841788E1
2.929184000E0,1.817718506E1,-5.018474579E0,-4.621536255E1,4.991447565E1
2.939242000E0,1.785098267E1,-5.171028137E0,-4.635202026E1,4.993903180E1
2.949301000E0,1.792620850E1,-4.987068176E0,-4.631484985E1,4.991277509E1
2.959359000E0,1.790264893E1,-4.744651794E0,-4.613870239E1,4.971716422E1
2.969418000E0,1.813198853E1,-4.408115387E0,-4.643252563E1,5.004178180E1
2.979477000E0,1.838436890E1,-4.440708160E0,-4.615780640E1,4.988234157E1
2.989535000E0,1.836334229E1,-4.018039703E0,-4.646292114E1,5.012145273E1
2.999594000E0,1.811700439E1,-3.524471283E0,-4.678793335E1,5.029670420E1
3.009652000E0,1.818013000E1,-3.386821747E0,-4.681887817E1,5.033880255E1
