"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.479315417E0,1.898898315E1,-2.940667725E1,-4.121163940E1,5.407155787E1
1.489374417E0,1.866687012E1,-2.958732605E1,-4.123904419E1,5.407883753E1
1.499433417E0,1.894514465E1,-2.960302353E1,-4.120086670E1,5.415504524E1
1.509492417E0,1.881803894E1,-2.962156296E1,-4.129019165E1,5.418888731E1
1.519551417E0,1.892160034E1,-2.991255188E1,-4.120086670E1,5.431665616E1
1.529610417E0,1.895948792E1,-2.946033478E1,-4.064938354E1,5.366326388E1
1.539669417E0,1.884104919E1,-2.956683731E1,-4.069812012E1,5.371703626E1
1.549728417E0,1.890507507E1,-2.965756989E1,-4.115118408E1,5.413310693E1
1.559787417E0,1.899746704E1,-2.965940857E1,-4.098464966E1,5.404003866E1
1.569846417E0,1.904389954E1,-2.950840759E1,-4.110089111E1,5.406199662E1
1.579905417E0,1.896585083E1,-2.950917053E1,-4.067401123E1,5.371098428E1
1.589963417E0,1.920025635E1,-2.989378357E1,-4.041119385E1,5.380848193E1
1.600022417E0,1.930827332E1,-2.993981552E1,-4.045413208E1,5.390490492E1
1.610081417E0,1.986170959E1,-3.011588287E1,-4.045602417E1,5.420464741E1
1.620140417E0,2.000306702E1,-3.018100357E1,-4.045046997E1,5.428863774E1
1.630199417E0,1.996157837E1,-3.028713608E1,-4.034866333E1,5.425670332E1
1.640258417E0,1.994650269E1,-3.007624054E1,-4.013180542E1,5.397226159E1
1.650317417E0,1.970518494E1,-2.991644669E1,-4.017422485E1,5.382616871E1
1.660376417E0,1.967239380E1,-2.970212936E1,-4.048059082E1,5.392492744E1
1.670435417E0,1.940823364E1,-2.987688446E1,-4.060357666E1,5.401812840E1
1.680494417E0,1.945928955E1,-2.985815811E1,-4.063854980E1,5.405243090E1
1.690553417E0,1.934307861E1,-3.001796722E1,-4.068768311E1,5.413613029E1
1.700612417E0,1.924580383E1,-3.013884735E1,-4.060281372E1,5.410489411E1
1.710671417E0,1.953439331E1,-3.038706970E1,-4.006765747E1,5.394797218E1
1.720729417E0,1.935203552E1,-3.054108429E1,-4.017446899E1,5.404856212E1
1.730788417E0,1.944590759E1,-3.040097046E1,-3.982397461E1,5.374301146E1
1.740847417E0,1.944746399E1,-3.053103638E1,-3.972497559E1,5.374403895E1
1.750906417E0,1.936773682E1,-3.038421631E1,-3.971902466E1,5.362751859E1
1.760965417E0,1.957586670E1,-3.035049820E1,-4.062374878E1,5.435674993E1
1.771024417E0,1.967236328E1,-3.045508194E1,-4.010665894E1,5.406531221E1
1.781086250E0,1.950990295E1,-3.015298843E1,-4.028634644E1,5.397062844E1
1.791145250E0,1.963517761E1,-3.026759338E1,-4.003823853E1,5.389552814E1
1.801204250E0,1.931559753E1,-2.992377090E1,-4.091131592E1,5.424260450E1
1.811263250E0,1.931636047E1,-2.959403992E1,-4.099935913E1,5.412833297E1
1.821322250E0,1.901715088E1,-2.969156265E1,-4.119308472E1,5.422279178E1
1.831381250E0,1.867121887E1,-2.943901825E1,-4.105520630E1,5.385907699E1
1.841440250E0,1.855714417E1,-2.929626465E1,-4.145751953E1,5.404964984E1
1.851499250E0,1.839143372E1,-2.961873245E1,-4.129443359E1,5.404391170E1
1.861557250E0,1.838346863E1,-2.923712921E1,-4.092697144E1,5.355164455E1
1.871616250E0,1.834092712E1,-2.928282928E1,-4.144326782E1,5.395755875E1
1.881675250E0,1.797084045E1,-2.927740860E1,-4.170724487E1,5.403343443E1
1.891734250E0,1.773336792E1,-2.936677551E1,-4.170828247E1,5.400426528E1
1.901793250E0,1.775007629E1,-2.927277756E1,-4.196582031E1,5.415801685E1
1.911852250E0,1.757382202E1,-2.923250961E1,-4.194552612E1,5.406298179E1
1.921911250E0,1.780282593E1,-2.896822357E1,-4.163543701E1,5.375507607E1
1.931970250E0,1.779089355E1,-2.888429642E1,-4.195532227E1,5.395430974E1
1.942029250E0,1.765243530E1,-2.899534225E1,-4.236920166E1,5.429076896E1
1.952088250E0,1.784147644E1,-2.892121506E1,-4.248120117E1,5.440043580E1
1.962147250E0,1.773503113E1,-2.865933228E1,-4.250299072E1,5.424382800E1
1.972206250E0,1.750886536E1,-2.874907303E1,-4.227313232E1,5.403783196E1
1.982265250E0,1.737763977E1,-2.836938858E1,-4.231771851E1,5.382930310E1
1.992324250E0,1.735421753E1,-2.824737930E1,-4.264898682E1,5.401869473E1
2.002382250E0,1.736991882E1,-2.805500412E1,-4.275527954E1,5.400751119E1
2.012441250E0,1.699449158E1,-2.775575638E1,-4.303982544E1,5.395944153E1
2.022500250E0,1.694035339E1,-2.775534058E1,-4.315945435E1,5.403769983E1
2.032559250E0,1.702522278E1,-2.760808563E1,-4.314236450E1,5.397525561E1
2.042618250E0,1.692739868E1,-2.731000900E1,-4.335763550E1,5.396534049E1
2.052677250E0,1.671080017E1,-2.704104233E1,-4.377487183E1,5.409905929E1
2.062736250E0,1.659049988E1,-2.704784393E1,-4.407528687E1,5.430894457E1
2.072795250E0,1.662713623E1,-2.665905380E1,-4.396597290E1,5.403863046E1
2.082854250E0,1.649635315E1,-2.672767258E1,-4.401541138E1,5.407267875E1
2.092913250E0,1.664276123E1,-2.649954224E1,-4.424526978E1,5.419272218E1
2.102972250E0,1.659646606E1,-2.654841232E1,-4.448379517E1,5.439732452E1
2.113031250E0,1.648916626E1,-2.669394684E1,-4.464144897E1,5.456480888E1
